customer_id,signup_date,tenure_months,age,region,plan_tier,monthly_fee_cad,num_products,avg_monthly_balance_cad,balance_trend,monthly_txn_count,app_logins_monthly,days_since_last_login,support_contacts_6mo,has_external_bank_link,referral_source,churned
CUST00070,2023-12-04,6,36,Alberta,Free,0.0,2,598.62,declining,7,5,4,3,1,Social Media,1
CUST00071,2023-11-04,7,36,Ontario,Free,0.0,2,0.79,declining,6,7,68,0,0,Organic,1
CUST00072,2023-02-07,16,22,Quebec,Standard,9.99,1,2995.82,growing,11,8,8,1,1,Paid Ad,0
CUST00073,2022-10-10,20,38,British Columbia,Standard,9.99,1,746.01,stable,23,5,25,0,0,Friend Referral,0
CUST00074,2022-02-12,28,24,Quebec,Free,0.0,2,623.71,growing,7,2,15,2,1,Organic,0
CUST00075,2024-05-02,1,36,British Columbia,Free,0.0,2,23.68,stable,3,2,40,2,0,Organic,1
CUST00076,2023-02-07,16,34,British Columbia,Free,0.0,1,154.79,growing,8,9,14,2,0,Social Media,1
CUST00077,2021-12-14,30,36,Alberta,Standard,9.99,3,6101.03,growing,17,12,13,1,0,Friend Referral,0
CUST00078,2020-06-22,48,22,Alberta,Standard,9.99,1,975.97,growing,15,14,15,0,1,Organic,0
CUST00079,2022-05-13,25,35,Alberta,Premium,19.99,3,10897.71,declining,32,19,23,1,0,Social Media,0
CUST00080,2018-10-01,69,38,Quebec,Premium,19.99,4,2777.65,declining,29,17,34,0,0,App Store,0
CUST00081,2020-10-20,44,32,Quebec,Standard,9.99,1,172.72,growing,16,6,4,0,1,Social Media,0
CUST00082,2023-02-07,16,25,Ontario,Free,0.0,1,553.21,stable,10,2,3,2,0,Organic,0
CUST00083,2023-10-05,8,37,Quebec,Free,0.0,1,37.26,growing,5,6,0,0,1,Organic,1
CUST00084,2021-08-16,34,31,Quebec,Free,0.0,1,687.81,growing,9,6,6,1,1,Social Media,1
CUST00085,2022-03-14,27,19,Ontario,Premium,19.99,2,1778.71,declining,31,27,28,1,0,Organic,0
CUST00086,2023-10-05,8,24,Alberta,Standard,9.99,3,3628.28,growing,26,15,1,2,1,Organic,0
CUST00087,2023-09-05,9,27,Alberta,Free,0.0,1,150.59,stable,9,5,11,0,0,Friend Referral,1
CUST00088,2023-08-06,10,41,Other,Standard,9.99,3,191.6,stable,19,17,17,3,1,Social Media,0
CUST00089,2022-11-09,19,40,British Columbia,Standard,9.99,1,1115.16,growing,17,11,27,1,1,Social Media,0
CUST00090,2024-01-03,5,40,British Columbia,Standard,9.99,2,289.58,stable,23,10,13,3,1,Friend Referral,0
CUST00091,2023-04-08,14,32,Alberta,Free,0.0,1,185.33,declining,10,6,3,0,0,App Store,1
CUST00092,2023-01-08,17,37,Ontario,Premium,19.99,4,2498.03,declining,28,33,50,1,0,Organic,0
CUST00093,2022-11-09,19,23,Alberta,Standard,9.99,2,1684.0,growing,13,15,1,0,1,Organic,0
CUST00094,2024-05-02,1,31,Other,Free,0.0,2,1133.96,declining,4,6,21,0,1,Organic,0
CUST00095,2024-05-02,1,34,Quebec,Premium,19.99,4,1625.51,declining,27,19,1,0,0,Paid Ad,0
CUST00096,2024-05-02,1,23,Other,Free,0.0,1,655.94,growing,9,4,2,1,0,Friend Referral,1
CUST00097,2023-11-04,7,32,British Columbia,Premium,19.99,3,2817.28,stable,33,26,34,0,1,Organic,0
CUST00098,2024-04-02,2,42,Ontario,Premium,19.99,4,5222.27,growing,35,30,20,3,1,Social Media,0
CUST00099,2024-05-02,1,34,Ontario,Standard,9.99,2,766.83,stable,17,14,6,1,1,Friend Referral,0
CUST00100,2024-03-03,3,37,Quebec,Standard,9.99,3,2569.13,stable,20,14,15,2,1,Organic,0
CUST00101,2024-03-03,3,18,Ontario,Free,0.0,1,926.95,growing,8,6,9,1,0,Friend Referral,0
CUST00102,2024-04-02,2,41,Quebec,Premium,19.99,4,4115.78,growing,38,23,1,3,1,Paid Ad,0
CUST00103,2020-10-20,44,29,Ontario,Standard,9.99,2,7604.04,stable,15,18,19,0,1,Organic,0
CUST00104,2020-02-23,52,25,Other,Standard,9.99,2,3089.8,stable,16,17,21,1,0,Organic,1
CUST00105,2021-09-15,33,29,Ontario,Premium,19.99,2,1922.85,stable,31,20,32,1,1,Organic,0
CUST00106,2023-04-08,14,20,British Columbia,Premium,19.99,2,2491.62,stable,39,18,11,1,1,Organic,0
CUST00107,2023-02-07,16,38,Quebec,Premium,19.99,2,1637.79,growing,25,22,16,1,1,Friend Referral,1
CUST00108,2021-02-17,40,28,Alberta,Free,0.0,1,1532.22,stable,7,5,8,3,0,Organic,1
CUST00109,2022-09-10,21,25,British Columbia,Premium,19.99,2,5749.57,growing,40,30,5,2,1,Social Media,0
CUST00110,2022-12-09,18,29,Other,Standard,9.99,1,1831.18,declining,21,12,7,1,0,Friend Referral,1
CUST00111,2024-03-03,3,38,British Columbia,Premium,19.99,3,5178.63,stable,34,15,36,0,1,Paid Ad,0
CUST00112,2024-04-02,2,31,Ontario,Standard,9.99,3,724.04,growing,18,12,2,1,0,Social Media,0
CUST00113,2023-11-04,7,21,British Columbia,Free,0.0,2,50.23,growing,10,5,4,1,1,Organic,1
CUST00114,2024-04-02,2,34,Quebec,Standard,9.99,2,1677.86,growing,18,10,13,2,0,Social Media,1
CUST00115,2023-06-07,12,24,British Columbia,Standard,9.99,1,3562.81,growing,21,8,1,1,1,Friend Referral,0
CUST00116,2019-09-26,57,18,Quebec,Standard,9.99,2,5391.01,stable,21,13,33,3,1,Organic,1
CUST00117,2019-04-29,62,41,British Columbia,Free,0.0,1,1191.98,declining,13,4,0,0,1,Social Media,0
CUST00118,2024-05-02,1,34,Ontario,Standard,9.99,3,3702.39,stable,20,9,21,1,0,Paid Ad,1
CUST00119,2020-10-20,44,30,Ontario,Free,0.0,1,565.22,stable,11,5,7,0,0,Organic,0
CUST00120,2021-08-16,34,28,Other,Premium,19.99,2,22111.32,stable,29,21,0,3,1,Organic,0
CUST00121,2019-05-29,61,40,Quebec,Standard,9.99,2,997.49,stable,21,7,27,3,1,App Store,0
CUST00122,2022-09-10,21,52,Ontario,Free,0.0,1,84.59,growing,9,3,15,2,0,Organic,0
CUST00123,2023-09-05,9,34,Ontario,Free,0.0,2,248.74,growing,8,2,0,3,1,Organic,0
CUST00124,2022-04-13,26,23,Ontario,Free,0.0,1,336.68,declining,7,5,4,2,0,Organic,1
CUST00125,2021-06-17,36,29,Alberta,Standard,9.99,2,2188.04,declining,18,8,6,2,1,Friend Referral,0
CUST00126,2021-07-17,35,34,Ontario,Free,0.0,1,271.94,growing,6,6,5,1,0,Paid Ad,0
CUST00127,2023-12-04,6,18,British Columbia,Free,0.0,2,190.27,growing,6,2,10,1,0,Friend Referral,0
CUST00128,2019-05-29,61,33,Ontario,Premium,19.99,3,10999.5,declining,28,25,11,2,1,Organic,0
CUST00129,2020-10-20,44,34,Quebec,Premium,19.99,2,5628.89,stable,30,19,7,1,1,Organic,0
CUST00130,2024-04-02,2,40,Ontario,Standard,9.99,2,1304.84,declining,18,9,6,2,1,Friend Referral,0
CUST00131,2019-06-28,60,39,Ontario,Premium,19.99,4,4261.71,growing,40,25,10,0,0,Friend Referral,1
CUST00132,2023-08-06,10,31,Quebec,Free,0.0,1,1360.97,declining,6,2,0,0,0,Friend Referral,1
CUST00133,2024-04-02,2,41,British Columbia,Standard,9.99,2,165.98,declining,14,13,15,3,1,Friend Referral,0
CUST00134,2020-04-23,50,45,Quebec,Standard,9.99,3,1751.43,growing,14,11,13,2,0,Paid Ad,0
CUST00135,2018-10-31,68,31,Ontario,Standard,9.99,1,5908.04,stable,27,9,4,3,0,Organic,1
CUST00136,2024-01-03,5,33,British Columbia,Standard,9.99,2,1327.46,growing,20,8,2,1,0,Organic,0
CUST00137,2023-03-09,15,18,Ontario,Standard,9.99,3,4731.24,stable,24,8,1,3,0,App Store,0
CUST00138,2022-06-12,24,20,Quebec,Standard,9.99,2,3603.91,stable,17,11,13,1,0,Social Media,0
CUST00139,2021-06-17,36,25,Ontario,Standard,9.99,1,318.96,stable,21,10,12,1,1,Social Media,0
CUST00140,2023-06-07,12,27,Ontario,Free,0.0,2,278.04,stable,8,6,11,1,1,Friend Referral,1
CUST00141,2023-05-08,13,23,Ontario,Free,0.0,2,75.0,growing,6,11,63,0,1,Social Media,0
CUST00142,2022-04-13,26,30,British Columbia,Free,0.0,1,11.26,stable,10,7,11,3,0,Social Media,1
CUST00143,2023-02-07,16,28,British Columbia,Free,0.0,1,1016.74,stable,10,5,19,1,1,Paid Ad,1
CUST00144,2024-01-03,5,38,British Columbia,Standard,9.99,3,2714.72,declining,8,11,1,2,0,Organic,0
CUST00145,2022-10-10,20,27,British Columbia,Free,0.0,1,469.17,growing,9,4,5,2,0,Social Media,0
CUST00146,2019-12-25,54,18,Ontario,Premium,19.99,3,3608.63,stable,35,24,4,1,0,Organic,0
CUST00147,2023-10-05,8,31,Ontario,Free,0.0,2,546.99,stable,5,1,12,1,1,App Store,0
CUST00148,2019-06-28,60,30,Ontario,Free,0.0,1,586.97,stable,11,2,6,1,1,Organic,0
CUST00149,2023-09-05,9,24,Ontario,Standard,9.99,3,762.74,stable,19,17,15,2,0,App Store,1
CUST00150,2023-11-04,7,31,Ontario,Free,0.0,2,61.85,stable,12,3,17,3,1,Organic,1
CUST00151,2023-07-07,11,23,Ontario,Standard,9.99,2,919.37,declining,25,15,0,3,1,Social Media,1
CUST00152,2022-11-09,19,33,Alberta,Standard,9.99,3,110.96,growing,9,11,15,0,0,Friend Referral,0
CUST00153,2022-02-12,28,49,Quebec,Free,0.0,2,1281.52,declining,6,5,1,3,0,Social Media,0
CUST00154,2021-10-15,32,18,British Columbia,Free,0.0,1,1077.41,stable,9,3,9,0,1,Social Media,0
CUST00155,2018-10-31,68,27,Quebec,Standard,9.99,1,1822.16,stable,16,12,19,0,0,Friend Referral,0
CUST00156,2023-04-08,14,26,Other,Free,0.0,1,973.13,stable,8,4,18,1,1,Organic,1
CUST00157,2022-04-13,26,27,British Columbia,Free,0.0,1,24.8,declining,9,6,5,0,1,Paid Ad,0
CUST00158,2020-08-21,46,38,Ontario,Free,0.0,1,80.39,stable,6,5,4,1,1,Organic,1
CUST00159,2023-08-06,10,34,Other,Free,0.0,2,267.19,declining,10,8,8,0,1,Friend Referral,0
CUST00160,2023-10-05,8,36,Quebec,Standard,9.99,3,1642.91,growing,21,11,3,0,1,App Store,0
CUST00161,2022-01-13,29,31,Quebec,Standard,9.99,1,1121.86,stable,16,14,55,1,1,Social Media,0
CUST00162,2024-05-02,1,21,British Columbia,Standard,9.99,1,6766.09,stable,14,12,6,1,1,Organic,0
CUST00163,2023-03-09,15,23,British Columbia,Free,0.0,1,88.83,stable,4,7,38,2,0,Organic,1
CUST00164,2019-10-26,56,36,British Columbia,Free,0.0,2,335.82,stable,10,6,35,0,1,Paid Ad,1
CUST00165,2018-10-01,69,32,Quebec,Premium,19.99,4,3538.64,stable,40,19,6,2,1,Friend Referral,1
CUST00166,2022-10-10,20,39,Ontario,Standard,9.99,1,1791.01,stable,21,8,4,0,1,Social Media,0
CUST00167,2020-07-22,47,33,Alberta,Premium,19.99,3,6233.39,stable,32,25,22,1,1,Social Media,0
CUST00168,2023-12-04,6,22,Alberta,Standard,9.99,3,69.79,stable,15,8,3,1,1,Organic,1
CUST00169,2023-05-08,13,27,British Columbia,Standard,9.99,2,2423.6,stable,18,11,11,1,1,Friend Referral,0
CUST00170,2018-11-30,67,34,Ontario,Standard,9.99,1,654.47,stable,17,6,1,3,0,Paid Ad,0
CUST00171,2024-02-02,4,35,Quebec,Free,0.0,1,248.52,growing,10,7,7,1,1,Organic,1
CUST00172,2018-11-30,67,36,Ontario,Standard,9.99,2,451.99,declining,19,14,1,0,1,App Store,0
CUST00173,2024-03-03,3,23,Other,Standard,9.99,3,630.1,declining,15,14,4,0,0,Organic,0
CUST00174,2022-12-09,18,22,Quebec,Free,0.0,2,49.86,growing,5,1,16,0,1,App Store,0
CUST00175,2019-01-29,65,29,Ontario,Free,0.0,2,247.16,growing,7,8,71,0,1,Social Media,0
CUST00176,2021-11-14,31,41,British Columbia,Standard,9.99,2,1915.63,growing,23,15,4,2,1,Friend Referral,0
CUST00177,2024-01-03,5,26,Quebec,Premium,19.99,3,2154.72,declining,26,19,9,0,1,Paid Ad,0
CUST00178,2022-09-10,21,34,Ontario,Standard,9.99,1,6406.98,declining,17,4,8,1,0,Friend Referral,0
CUST00179,2023-12-04,6,34,Ontario,Free,0.0,2,97.18,growing,7,2,3,0,1,Paid Ad,1
CUST00180,2020-10-20,44,36,British Columbia,Free,0.0,2,167.99,declining,10,6,14,2,0,Social Media,0
CUST00181,2023-09-05,9,42,Alberta,Standard,9.99,1,2939.28,growing,17,21,19,2,0,Paid Ad,1
CUST00182,2023-04-08,14,41,Ontario,Free,0.0,1,662.33,growing,8,4,2,0,1,App Store,1
CUST00183,2021-07-17,35,26,Quebec,Premium,19.99,2,2070.57,declining,23,25,21,2,1,Organic,0
CUST00184,2021-12-14,30,18,British Columbia,Free,0.0,2,849.02,declining,8,3,18,0,0,Social Media,1
CUST00185,2021-12-14,30,26,Ontario,Standard,9.99,2,23.28,declining,21,10,3,2,0,Paid Ad,0
CUST00186,2022-02-12,28,31,Ontario,Standard,9.99,1,712.19,stable,18,18,15,2,1,Organic,0
CUST00187,2024-01-03,5,28,Ontario,Premium,19.99,2,3101.86,stable,28,28,7,2,1,Social Media,0
CUST00188,2023-10-05,8,44,Alberta,Standard,9.99,1,1267.08,declining,15,10,17,1,1,Friend Referral,1
CUST00189,2020-09-20,45,31,Other,Standard,9.99,2,247.96,stable,12,18,10,2,0,Organic,1
CUST00190,2022-12-09,18,35,Ontario,Premium,19.99,4,219.77,growing,27,20,0,0,1,App Store,0
CUST00191,2019-11-25,55,32,British Columbia,Free,0.0,1,934.46,stable,9,7,23,1,0,Social Media,0
CUST00192,2020-08-21,46,28,Other,Premium,19.99,3,10019.47,declining,34,26,12,0,0,Social Media,1
CUST00193,2021-06-17,36,18,British Columbia,Free,0.0,2,1742.74,declining,6,8,19,0,1,Friend Referral,0
CUST00194,2023-08-06,10,30,Ontario,Standard,9.99,2,4323.46,stable,19,10,2,1,1,Friend Referral,1
CUST00195,2024-05-02,1,53,Ontario,Standard,9.99,1,2404.91,stable,24,20,19,2,1,App Store,0
CUST00196,2018-10-01,69,22,Quebec,Free,0.0,2,34.08,growing,9,8,8,0,1,Friend Referral,0
CUST00197,2024-05-02,1,18,British Columbia,Premium,19.99,3,7157.72,stable,39,25,24,2,1,Social Media,0
CUST00198,2024-05-02,1,44,Quebec,Free,0.0,1,2468.98,stable,6,4,13,1,1,Friend Referral,0
CUST00199,2019-08-27,58,36,British Columbia,Free,0.0,2,413.93,growing,7,7,6,3,1,App Store,1
CUST00200,2021-02-17,40,32,Ontario,Standard,9.99,1,415.84,declining,12,10,3,1,1,Paid Ad,1
CUST00201,2021-05-18,37,40,Ontario,Standard,9.99,3,3442.98,declining,14,16,25,1,0,Friend Referral,1
CUST00202,2023-11-04,7,25,Other,Standard,9.99,2,4924.43,growing,16,12,12,1,1,Friend Referral,0
CUST00203,2023-01-08,17,30,Alberta,Free,0.0,2,545.55,declining,9,7,65,0,1,Social Media,0
CUST00204,2022-04-13,26,37,Quebec,Free,0.0,2,271.84,stable,9,2,7,2,0,App Store,0
CUST00205,2021-03-19,39,45,Ontario,Free,0.0,2,1682.11,stable,4,7,17,0,1,App Store,1
CUST00206,2022-12-09,18,22,British Columbia,Free,0.0,1,575.76,declining,9,9,14,1,0,Organic,0
CUST00207,2021-10-15,32,39,British Columbia,Standard,9.99,1,2426.64,growing,17,11,15,1,0,Friend Referral,0
CUST00208,2023-08-06,10,33,British Columbia,Standard,9.99,3,1205.77,declining,18,16,20,2,1,Friend Referral,0
CUST00209,2024-01-03,5,32,Alberta,Premium,19.99,2,2105.74,stable,37,22,2,2,0,Organic,0
CUST00210,2021-03-19,39,30,Ontario,Premium,19.99,3,4505.43,declining,25,13,11,2,0,Friend Referral,1
CUST00211,2023-09-05,9,21,Quebec,Free,0.0,1,188.86,stable,2,7,10,0,1,Organic,1
CUST00212,2022-08-11,22,37,Ontario,Standard,9.99,1,4602.32,growing,15,3,6,0,1,Friend Referral,0
CUST00213,2024-02-02,4,25,British Columbia,Free,0.0,1,1525.01,stable,7,7,8,1,1,Social Media,0
CUST00214,2021-12-14,30,23,Quebec,Free,0.0,2,293.48,growing,8,5,10,3,1,Organic,0
CUST00215,2020-04-23,50,37,British Columbia,Standard,9.99,2,426.81,growing,21,16,5,2,1,Organic,0
CUST00216,2019-01-29,65,36,Ontario,Free,0.0,1,110.73,growing,5,2,5,2,1,Social Media,1
CUST00217,2023-03-09,15,31,British Columbia,Free,0.0,1,164.75,declining,10,6,20,1,1,Organic,1
CUST00218,2018-09-01,70,38,Other,Premium,19.99,2,11734.4,declining,36,21,1,2,1,App Store,0
CUST00219,2022-10-10,20,40,British Columbia,Standard,9.99,1,1481.02,declining,20,10,5,0,0,Organic,0
CUST00220,2019-05-29,61,40,Ontario,Standard,9.99,2,2004.94,declining,21,12,15,1,0,App Store,1
CUST00221,2019-04-29,62,27,Alberta,Free,0.0,1,538.42,declining,11,6,3,0,1,Friend Referral,1
CUST00222,2022-09-10,21,38,Ontario,Free,0.0,1,174.04,growing,7,3,12,1,0,Paid Ad,1
CUST00223,2021-07-17,35,32,Ontario,Premium,19.99,4,3421.18,declining,36,22,5,2,0,Social Media,0
CUST00224,2024-01-03,5,43,British Columbia,Free,0.0,2,86.37,declining,11,5,27,2,1,Organic,1
CUST00225,2024-02-02,4,30,Ontario,Standard,9.99,3,855.46,growing,24,11,6,3,1,Friend Referral,0
CUST00226,2021-06-17,36,28,British Columbia,Free,0.0,1,55.98,stable,7,11,3,3,0,Friend Referral,1
CUST00227,2023-03-09,15,26,Alberta,Standard,9.99,3,2912.82,stable,17,12,11,1,1,Social Media,0
CUST00228,2022-11-09,19,32,Ontario,Free,0.0,2,816.46,declining,8,7,2,0,0,Organic,0
CUST00229,2024-04-02,2,34,British Columbia,Premium,19.99,3,1400.09,stable,26,24,23,4,1,Social Media,0
CUST00230,2024-01-03,5,34,Ontario,Premium,19.99,2,2040.67,declining,22,24,17,1,1,Social Media,1
CUST00231,2024-02-02,4,33,British Columbia,Standard,9.99,1,130.35,growing,14,11,22,2,0,Social Media,0
CUST00232,2020-02-23,52,35,Ontario,Free,0.0,1,386.01,growing,6,3,7,2,1,Friend Referral,0
CUST00233,2023-06-07,12,29,Ontario,Premium,19.99,4,3757.61,declining,43,23,27,0,1,Friend Referral,0
CUST00234,2024-02-02,4,24,Ontario,Standard,9.99,2,749.35,growing,20,7,10,0,0,Paid Ad,0
CUST00235,2023-08-06,10,24,Ontario,Standard,9.99,3,855.51,stable,12,14,1,3,0,Organic,0
CUST00236,2019-09-26,57,37,Ontario,Standard,9.99,2,1334.21,stable,17,17,3,2,0,Friend Referral,0
CUST00237,2023-10-05,8,34,British Columbia,Free,0.0,2,532.76,declining,9,2,18,2,1,Social Media,0
CUST00238,2020-09-20,45,18,British Columbia,Free,0.0,1,4.35,growing,7,7,34,1,0,Social Media,0
CUST00239,2024-03-03,3,38,Ontario,Standard,9.99,1,1076.6,growing,17,14,1,1,0,Friend Referral,0
CUST00240,2022-05-13,25,44,Ontario,Free,0.0,2,34.29,stable,9,6,29,2,1,App Store,0
CUST00241,2020-03-24,51,25,Quebec,Standard,9.99,1,720.77,stable,19,12,24,2,0,Paid Ad,0
CUST00242,2024-04-02,2,33,Quebec,Standard,9.99,2,626.09,stable,17,15,6,2,0,App Store,0
CUST00243,2023-09-05,9,27,British Columbia,Premium,19.99,3,12798.74,declining,25,25,17,1,1,Organic,1
